# Temperature (C), Mass Fraction
2.6850e+01,1.0004e+00
2.7017e+01,9.9944e-01
2.7183e+01,9.9927e-01
2.7350e+01,1.0006e+00
2.7517e+01,1.0001e+00
2.7683e+01,1.0006e+00
2.7850e+01,1.0007e+00
2.8017e+01,9.9992e-01
2.8184e+01,1.0000e+00
2.8350e+01,1.0002e+00
2.8517e+01,1.0009e+00
2.8684e+01,1.0001e+00
2.8850e+01,9.9967e-01
2.9017e+01,9.9982e-01
2.9184e+01,1.0008e+00
2.9350e+01,1.0003e+00
2.9517e+01,9.9981e-01
2.9684e+01,1.0007e+00
2.9851e+01,9.9990e-01
3.0017e+01,9.9926e-01
3.0184e+01,1.0007e+00
3.0351e+01,1.0007e+00
3.0517e+01,9.9937e-01
3.0684e+01,1.0005e+00
3.0851e+01,9.9933e-01
3.1017e+01,1.0000e+00
3.1184e+01,1.0002e+00
3.1351e+01,1.0005e+00
3.1518e+01,1.0011e+00
3.1684e+01,1.0002e+00
3.1851e+01,9.9986e-01
3.2018e+01,1.0003e+00
3.2184e+01,1.0004e+00
3.2351e+01,9.9993e-01
3.2518e+01,1.0007e+00
3.2684e+01,9.9942e-01
3.2851e+01,1.0008e+00
3.3018e+01,1.0001e+00
3.3185e+01,9.9991e-01
3.3351e+01,9.9999e-01
3.3518e+01,9.9995e-01
3.3685e+01,1.0001e+00
3.3851e+01,1.0005e+00
3.4018e+01,9.9982e-01
3.4185e+01,1.0003e+00
3.4351e+01,9.9908e-01
3.4518e+01,1.0002e+00
3.4685e+01,1.0007e+00
3.4851e+01,9.9928e-01
3.5018e+01,1.0008e+00
3.5185e+01,1.0008e+00
3.5352e+01,1.0006e+00
3.5518e+01,1.0005e+00
3.5685e+01,9.9970e-01
3.5852e+01,9.9924e-01
3.6018e+01,9.9951e-01
3.6185e+01,1.0000e+00
3.6352e+01,9.9974e-01
3.6518e+01,9.9934e-01
3.6685e+01,9.9911e-01
3.6852e+01,1.0001e+00
3.7019e+01,9.9973e-01
3.7185e+01,9.9952e-01
3.7352e+01,9.9983e-01
3.7519e+01,1.0000e+00
3.7685e+01,1.0007e+00
3.7852e+01,9.9995e-01
3.8019e+01,1.0009e+00
3.8185e+01,1.0001e+00
3.8352e+01,1.0001e+00
3.8519e+01,1.0003e+00
3.8686e+01,1.0003e+00
3.8852e+01,9.9929e-01
3.9019e+01,1.0012e+00
3.9186e+01,1.0011e+00
3.9352e+01,1.0009e+00
3.9519e+01,9.9920e-01
3.9686e+01,1.0004e+00
3.9852e+01,1.0008e+00
4.0019e+01,1.0005e+00
4.0186e+01,1.0006e+00
4.0353e+01,1.0000e+00
4.0519e+01,9.9980e-01
4.0686e+01,1.0011e+00
4.0853e+01,9.9987e-01
4.1019e+01,9.9919e-01
4.1186e+01,9.9997e-01
4.1353e+01,9.9979e-01
4.1519e+01,1.0008e+00
4.1686e+01,9.9991e-01
4.1853e+01,9.9964e-01
4.2019e+01,1.0003e+00
4.2186e+01,1.0001e+00
4.2353e+01,9.9944e-01
4.2520e+01,1.0004e+00
4.2686e+01,1.0000e+00
4.2853e+01,9.9974e-01
4.3020e+01,1.0001e+00
4.3186e+01,9.9975e-01
4.3353e+01,1.0009e+00
4.3520e+01,9.9999e-01
4.3686e+01,1.0002e+00
4.3853e+01,1.0001e+00
4.4020e+01,9.9954e-01
4.4187e+01,1.0007e+00
4.4353e+01,9.9985e-01
4.4520e+01,1.0005e+00
4.4687e+01,1.0003e+00
4.4853e+01,1.0005e+00
4.5020e+01,1.0003e+00
4.5187e+01,9.9935e-01
4.5353e+01,9.9985e-01
4.5520e+01,9.9905e-01
4.5687e+01,9.9991e-01
4.5854e+01,1.0001e+00
4.6020e+01,1.0002e+00
4.6187e+01,1.0005e+00
4.6354e+01,9.9957e-01
4.6520e+01,1.0004e+00
4.6687e+01,1.0000e+00
4.6854e+01,1.0007e+00
