Temperature (C),Mass Fraction
126.936,1
127.097,1
127.267,1
127.433,1.000009988
127.596,1.000009988
127.762,1.000019977
127.926,1.000029965
128.095,1.000029965
128.261,1.000039954
128.426,1.000039954
128.594,1.000039954
128.768,1.000039954
128.923,1.000039954
129.091,1.000039954
129.251,1.000039954
129.417,1.000039954
129.581,1.000039954
129.755,1.000039954
129.914,1.000049942
130.085,1.00005993
130.267,1.000069919
130.422,1.000089896
130.587,1.000099884
130.755,1.000109873
130.916,1.000119861
131.083,1.000129849
131.244,1.000129849
131.414,1.000139838
131.575,1.000139838
131.742,1.000139838
131.907,1.000139838
132.07,1.000139838
132.245,1.000139838
132.415,1.000139838
132.575,1.000139838
132.738,1.000139838
132.904,1.000139838
133.077,1.000139838
133.24,1.000139838
133.411,1.000139838
133.572,1.000139838
133.735,1.000139838
133.907,1.000139838
134.069,1.000139838
134.235,1.000139838
134.402,1.000139838
134.564,1.000139838
134.734,1.000139838
134.896,1.000139838
135.062,1.000139838
135.224,1.000139838
135.393,1.000139838
135.559,1.000139838
135.728,1.000139838
135.894,1.000149826
136.056,1.000159815
136.223,1.000169803
136.394,1.00018978
136.561,1.000199768
136.718,1.000209757
136.887,1.000219745
137.062,1.000229734
137.228,1.000229734
137.396,1.000239722
137.557,1.000229734
137.714,1.000229734
137.882,1.000219745
138.051,1.000209757
138.209,1.000199768
138.375,1.000199768
138.545,1.00018978
138.712,1.00018978
138.878,1.000199768
139.037,1.000209757
139.207,1.000209757
139.378,1.000219745
139.54,1.000219745
139.702,1.000229734
139.871,1.000229734
140.036,1.000239722
140.203,1.000239722
140.368,1.000239722
140.524,1.000239722
140.693,1.000239722
140.863,1.000239722
141.03,1.000239722
141.191,1.000239722
141.356,1.000239722
141.52,1.000239722
141.688,1.000239722
141.858,1.000239722
142.015,1.000239722
142.189,1.000239722
142.355,1.000239722
142.518,1.000239722
142.685,1.00024971
142.845,1.000259699
143.019,1.000269687
143.176,1.000279676
143.34,1.000299652
143.504,1.000309641
143.681,1.000319629
143.848,1.000329618
144,1.000329618
144.172,1.000329618
144.342,1.000339606
144.506,1.000339606
144.676,1.000339606
144.836,1.000339606
145.007,1.000339606
145.17,1.000339606
145.331,1.000339606
145.499,1.000339606
145.675,1.000339606
145.846,1.000339606
146.01,1.000339606
146.174,1.000339606
146.337,1.000339606
146.505,1.000339606
146.671,1.000339606
146.829,1.000339606
146.999,1.000339606
147.166,1.000339606
147.331,1.000339606
147.496,1.000339606
147.665,1.000339606
147.828,1.000339606
147.991,1.000339606
148.153,1.000339606
148.33,1.000339606
148.495,1.000339606
148.651,1.000339606
148.817,1.000339606
148.987,1.000339606
149.153,1.000339606
149.321,1.000339606
149.483,1.000339606
149.65,1.000339606
149.821,1.000339606
149.978,1.000349594
150.144,1.000359583
150.309,1.000369571
150.474,1.000389548
150.64,1.000399537
150.811,1.000409525
150.988,1.000419513
151.147,1.000419513
151.322,1.000429502
151.481,1.00043949
151.649,1.00043949
151.819,1.00043949
151.983,1.00043949
152.151,1.00043949
152.32,1.00043949
152.489,1.00043949
152.656,1.00043949
152.829,1.00043949
152.99,1.00043949
153.151,1.00043949
153.321,1.00043949
153.483,1.00043949
153.649,1.00043949
153.81,1.00043949
153.982,1.00043949
154.155,1.00043949
154.315,1.00043949
154.482,1.00043949
154.646,1.00043949
154.818,1.00043949
154.989,1.00043949
155.161,1.00043949
155.329,1.00043949
155.486,1.00043949
155.654,1.00043949
155.817,1.00043949
155.988,1.00043949
156.145,1.00043949
156.312,1.00043949
156.479,1.00043949
156.645,1.00043949
156.812,1.00043949
156.981,1.00043949
157.146,1.00043949
157.307,1.00043949
157.476,1.000449479
157.649,1.000459467
157.813,1.000459467
157.98,1.000459467
158.14,1.000459467
158.302,1.000459467
158.472,1.000449479
158.635,1.000449479
158.799,1.000459467
158.967,1.000459467
159.14,1.000479444
159.305,1.000489432
159.468,1.000499421
159.623,1.000509409
159.795,1.000519397
159.96,1.000519397
160.129,1.000529386
160.297,1.000529386
160.464,1.000539374
160.633,1.000539374
160.801,1.000539374
160.956,1.000539374
161.121,1.000539374
161.297,1.000539374
161.454,1.000539374
161.615,1.000539374
161.791,1.000529386
161.958,1.000519397
162.124,1.000499421
162.283,1.000489432
162.449,1.000489432
162.614,1.000489432
162.784,1.000499421
162.951,1.000509409
163.119,1.000509409
163.28,1.000519397
163.445,1.000519397
163.618,1.000529386
163.785,1.000529386
163.951,1.000539374
164.116,1.000539374
164.282,1.000539374
164.447,1.000539374
164.613,1.000539374
164.777,1.000539374
164.943,1.000539374
165.11,1.000539374
165.277,1.000539374
165.436,1.000539374
165.607,1.000539374
165.779,1.000539374
165.943,1.000539374
166.107,1.000539374
166.28,1.000539374
166.45,1.000539374
166.616,1.000539374
166.782,1.000539374
166.94,1.000539374
167.111,1.000539374
167.277,1.000539374
167.452,1.000539374
167.615,1.000539374
