"T, K","m, mg"
400.049,14.433
400.095,14.433
400.144,14.433
400.196,14.433
400.237,14.433
400.291,14.433
400.344,14.433
400.382,14.433
400.431,14.433
400.484,14.433
400.534,14.433
400.59,14.433
400.635,14.433
400.682,14.433
400.737,14.433
400.782,14.433
400.823,14.433
400.874,14.433
400.922,14.433
400.976,14.433
401.03,14.433
401.083,14.433
401.119,14.433
401.166,14.433
401.223,14.433
401.278,14.433
401.328,14.433
401.373,14.433
401.425,14.433
401.47,14.433
401.518,14.433
401.565,14.433
401.61,14.433
401.665,14.433
401.717,14.433
401.769,14.433
401.819,14.433
401.871,14.433
401.921,14.433
401.962,14.433
402.008,14.433
402.061,14.433
402.118,14.433
402.161,14.433
402.21,14.433
402.268,14.433
402.329,14.433
402.373,14.433
402.422,14.433
402.463,14.433
402.512,14.433
402.561,14.433
402.61,14.433
402.662,14.433
402.708,14.433
402.757,14.433
402.804,14.433
402.846,14.433
402.905,14.433
402.953,14.433
403,14.433
403.052,14.433
403.101,14.433
403.147,14.433
403.206,14.433
403.251,14.433
403.294,14.433
403.347,14.433
403.398,14.433
403.44,14.433
403.492,14.433
403.541,14.433
403.593,14.433
403.639,14.433
403.691,14.433
403.74,14.433
403.794,14.433
403.835,14.433
403.887,14.433
403.942,14.433
403.983,14.433
404.033,14.433
404.084,14.433
404.132,14.433
404.181,14.433
404.236,14.433
404.276,14.433
404.332,14.433
404.387,14.433
404.432,14.433
404.491,14.4331
404.535,14.4331
404.588,14.4331
404.632,14.4332
404.679,14.4332
404.731,14.4332
404.781,14.4332
404.832,14.4332
404.879,14.4332
404.923,14.4331
404.969,14.4331
405.016,14.4331
405.068,14.433
405.123,14.433
405.176,14.433
405.232,14.4331
405.281,14.4332
405.333,14.4333
405.377,14.4334
405.426,14.4334
405.477,14.4335
405.525,14.4335
405.58,14.4334
405.632,14.4334
405.683,14.4333
405.739,14.4333
405.781,14.4333
405.836,14.4333
405.886,14.4333
405.928,14.4333
405.978,14.4334
406.025,14.4334
406.076,14.4334
406.129,14.4334
406.178,14.4334
406.226,14.4334
406.27,14.4335
406.316,14.4336
406.37,14.4336
406.42,14.4336
406.467,14.4336
406.518,14.4336
406.569,14.4335
406.621,14.4335
406.666,14.4335
406.724,14.4335
406.767,14.4336
406.818,14.4337
406.864,14.4337
406.918,14.4338
406.973,14.4338
407.021,14.4339
407.064,14.4339
407.118,14.4339
407.166,14.4339
407.215,14.4339
407.258,14.4339
407.309,14.4339
407.36,14.4339
407.408,14.4339
407.458,14.4339
407.515,14.434
407.548,14.434
407.602,14.434
407.651,14.434
407.71,14.434
407.77,14.434
407.815,14.434
407.868,14.434
407.91,14.434
407.958,14.434
408.012,14.434
408.059,14.434
408.112,14.434
408.164,14.434
408.209,14.434
408.265,14.434
408.303,14.434
408.352,14.434
408.407,14.434
408.453,14.434
408.506,14.434
408.561,14.434
408.61,14.434
408.652,14.434
408.698,14.434
408.754,14.434
408.81,14.434
408.857,14.434
408.902,14.434
408.946,14.434
408.996,14.434
409.044,14.434
409.093,14.434
409.148,14.434
409.194,14.434
409.245,14.434
409.29,14.434
409.342,14.434
409.392,14.434
409.446,14.434
409.502,14.434
409.543,14.434
409.59,14.434
409.646,14.434
409.698,14.434
409.741,14.434
409.789,14.434
409.847,14.434
409.907,14.434
409.944,14.434
409.991,14.434
410.052,14.434
410.099,14.434
410.142,14.434
410.199,14.434
410.246,14.434
410.293,14.434
410.346,14.434
410.387,14.434
410.449,14.434
410.501,14.434
410.54,14.434
410.595,14.434
410.649,14.434
410.693,14.434
410.743,14.434
410.784,14.434
410.842,14.434
410.894,14.434
410.948,14.434
410.994,14.434
411.047,14.434
411.095,14.434
411.148,14.434
411.201,14.434
411.251,14.434
411.303,14.434
411.352,14.434
411.4,14.434
411.442,14.434
411.488,14.434
411.542,14.434
411.585,14.434
411.631,14.434
411.682,14.434
411.744,14.434
411.789,14.434
411.836,14.434
411.89,14.434
411.937,14.434
411.984,14.434
412.034,14.434
412.088,14.434
412.14,14.434
412.195,14.434
412.245,14.434
412.293,14.434
412.347,14.434
412.395,14.434
412.437,14.434
412.488,14.434
412.538,14.434
412.588,14.434
412.63,14.434
412.676,14.434
412.733,14.434
412.783,14.434
412.833,14.434
412.883,14.434
412.932,14.434
412.981,14.434
413.026,14.434
413.086,14.434
413.138,14.434
413.177,14.434
413.227,14.434
413.27,14.434
413.336,14.434
413.383,14.434
413.435,14.434
413.48,14.434
413.526,14.434
413.575,14.434
413.626,14.434
413.669,14.434
413.721,14.434
413.777,14.434
413.824,14.434
413.872,14.434
413.924,14.434
413.974,14.434
414.02,14.434
414.07,14.434
414.13,14.434
414.175,14.434
414.213,14.434
414.264,14.434
414.319,14.434
414.367,14.434
414.409,14.434
414.459,14.434
414.519,14.434
414.569,14.434
414.622,14.434
414.673,14.434
414.713,14.434
414.762,14.434
414.808,14.434
414.866,14.434
414.918,14.434
