Temperature (C),Mass Fraction
4.01000e+01,1.00000e+00
4.14060e+01,9.99726e-01
4.27121e+01,9.99636e-01
4.40181e+01,9.99745e-01
4.53241e+01,9.99298e-01
4.66302e+01,9.99611e-01
4.79362e+01,9.99296e-01
4.92422e+01,9.98885e-01
5.05482e+01,9.99473e-01
5.18543e+01,9.98813e-01
5.31603e+01,9.99271e-01
5.44663e+01,9.98419e-01
5.57724e+01,9.99238e-01
5.70784e+01,9.98200e-01
5.83844e+01,9.98293e-01
5.96905e+01,9.98155e-01
6.09965e+01,9.98084e-01
6.23025e+01,9.97880e-01
6.36085e+01,9.97758e-01
6.49146e+01,9.97786e-01
6.62206e+01,9.98213e-01
6.75266e+01,9.97331e-01
6.88327e+01,9.96994e-01
7.01387e+01,9.97010e-01
7.14447e+01,9.96825e-01
7.27508e+01,9.96426e-01
7.40568e+01,9.96246e-01
7.53628e+01,9.96015e-01
7.66688e+01,9.95529e-01
7.79749e+01,9.95604e-01
7.92809e+01,9.94917e-01
8.05869e+01,9.94983e-01
8.18930e+01,9.94660e-01
8.31990e+01,9.94133e-01
8.45050e+01,9.93720e-01
8.58111e+01,9.93319e-01
8.71171e+01,9.93128e-01
8.84231e+01,9.92649e-01
8.97291e+01,9.92390e-01
9.10352e+01,9.92033e-01
9.23412e+01,9.91320e-01
9.36472e+01,9.90766e-01
9.49533e+01,9.90326e-01
9.62593e+01,9.90024e-01
9.75653e+01,9.89534e-01
9.88714e+01,9.89089e-01
1.00177e+02,9.88450e-01
1.01483e+02,9.87946e-01
1.02789e+02,9.87301e-01
1.04095e+02,9.86793e-01
1.05402e+02,9.86177e-01
1.06708e+02,9.85590e-01
1.08014e+02,9.84688e-01
1.09320e+02,9.83531e-01
1.10626e+02,9.82143e-01
1.11932e+02,9.80466e-01
1.13238e+02,9.78643e-01
1.14544e+02,9.76758e-01
1.15850e+02,9.74182e-01
1.17156e+02,9.71842e-01
1.18462e+02,9.69159e-01
1.19768e+02,9.66167e-01
1.21074e+02,9.62894e-01
1.22380e+02,9.58587e-01
1.23686e+02,9.54274e-01
1.24992e+02,9.50320e-01
1.26298e+02,9.45758e-01
1.27604e+02,9.40802e-01
1.28910e+02,9.35969e-01
1.30216e+02,9.30728e-01
1.31522e+02,9.25527e-01
1.32828e+02,9.20402e-01
1.34134e+02,9.15286e-01
1.35440e+02,9.10228e-01
1.36746e+02,9.05236e-01
1.38052e+02,9.00936e-01
1.39358e+02,8.97314e-01
1.40664e+02,8.94067e-01
1.41970e+02,8.91287e-01
1.43276e+02,8.88486e-01
1.44582e+02,8.86643e-01
1.45888e+02,8.84814e-01
1.47194e+02,8.83158e-01
1.48501e+02,8.82050e-01
1.49807e+02,8.81012e-01
1.51113e+02,8.79334e-01
1.52419e+02,8.78759e-01
1.53725e+02,8.77948e-01
1.55031e+02,8.77161e-01
1.56337e+02,8.76253e-01
1.57643e+02,8.75926e-01
1.58949e+02,8.75247e-01
1.60255e+02,8.74579e-01
1.61561e+02,8.74188e-01
1.62867e+02,8.73852e-01
1.64173e+02,8.73294e-01
1.65479e+02,8.72855e-01
1.66785e+02,8.72538e-01
1.68091e+02,8.72289e-01
1.69397e+02,8.71972e-01
1.70703e+02,8.72069e-01
1.72009e+02,8.71186e-01
1.73315e+02,8.71619e-01
1.74621e+02,8.70058e-01
1.75927e+02,8.70197e-01
1.77233e+02,8.70094e-01
1.78539e+02,8.70115e-01
1.79845e+02,8.69456e-01
1.81151e+02,8.69148e-01
1.82457e+02,8.69091e-01
1.83763e+02,8.68981e-01
1.85069e+02,8.68722e-01
1.86375e+02,8.68585e-01
1.87681e+02,8.68288e-01
1.88987e+02,8.67974e-01
1.90293e+02,8.67956e-01
1.91599e+02,8.67741e-01
1.92906e+02,8.68002e-01
1.94212e+02,8.66849e-01
1.95518e+02,8.68172e-01
1.96824e+02,8.66625e-01
1.98130e+02,8.66446e-01
1.99436e+02,8.66334e-01
2.00742e+02,8.66212e-01
2.02048e+02,8.66286e-01
2.03354e+02,8.66265e-01
2.04660e+02,8.66127e-01
2.05966e+02,8.66016e-01
2.07272e+02,8.65519e-01
2.08578e+02,8.65541e-01
2.09884e+02,8.65566e-01
2.11190e+02,8.65184e-01
2.12496e+02,8.65057e-01
2.13802e+02,8.64818e-01
2.15108e+02,8.63908e-01
2.16414e+02,8.65190e-01
2.17720e+02,8.64434e-01
2.19026e+02,8.64229e-01
2.20332e+02,8.63676e-01
2.21638e+02,8.64987e-01
2.22944e+02,8.65559e-01
2.24250e+02,8.62944e-01
2.25556e+02,8.63349e-01
2.26862e+02,8.63742e-01
2.28168e+02,8.62881e-01
2.29474e+02,8.63298e-01
2.30780e+02,8.63302e-01
2.32086e+02,8.63184e-01
2.33392e+02,8.63016e-01
2.34698e+02,8.62989e-01
2.36005e+02,8.62892e-01
2.37311e+02,8.62675e-01
2.38617e+02,8.62046e-01
2.39923e+02,8.61921e-01
2.41229e+02,8.62202e-01
2.42535e+02,8.62259e-01
2.43841e+02,8.62533e-01
2.45147e+02,8.61911e-01
2.46453e+02,8.61873e-01
2.47759e+02,8.61552e-01
2.49065e+02,8.61182e-01
2.50371e+02,8.61442e-01
2.51677e+02,8.60619e-01
2.52983e+02,8.60638e-01
2.54289e+02,8.61114e-01
2.55595e+02,8.60716e-01
2.56901e+02,8.60480e-01
2.58207e+02,8.60876e-01
2.59513e+02,8.60352e-01
2.60819e+02,8.61083e-01
2.62125e+02,8.60569e-01
2.63431e+02,8.59609e-01
2.64737e+02,8.59958e-01
2.66043e+02,8.60257e-01
2.67349e+02,8.60389e-01
2.68655e+02,8.60414e-01
2.69961e+02,8.59637e-01
2.71267e+02,8.59173e-01
2.72573e+02,8.59408e-01
2.73879e+02,8.59939e-01
2.75185e+02,8.59137e-01
2.76491e+02,8.59095e-01
2.77797e+02,8.58806e-01
2.79104e+02,8.58918e-01
2.80410e+02,8.58845e-01
2.81716e+02,8.59107e-01
2.83022e+02,8.58946e-01
2.84328e+02,8.58633e-01
2.85634e+02,8.58825e-01
2.86940e+02,8.58064e-01
2.88246e+02,8.58301e-01
2.89552e+02,8.58190e-01
2.90858e+02,8.57977e-01
2.92164e+02,8.57733e-01
2.93470e+02,8.57934e-01
2.94776e+02,8.57698e-01
2.96082e+02,8.57617e-01
2.97388e+02,8.57464e-01
2.98694e+02,8.57567e-01
3.00000e+02,8.57566e-01
